epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.586,2.1132,1.76986,1.23535,0.67257,0.4495,0.53524,0.23565,1.8938,1.3539,1.17645,0.000332925,0.000332925,0.0670404
2,742.458,1.99187,1.48438,1.17162,0.71934,0.53398,0.62478,0.25763,1.96232,1.17902,1.23993,0.000649768,0.000649768,0.034024
3,1098.58,1.94315,1.41885,1.15355,0.71998,0.5255,0.60558,0.24573,2.00583,1.20867,1.15872,0.000950112,0.000950112,0.000990961
4,1441.39,1.89827,1.35037,1.13735,0.71855,0.54195,0.64048,0.31185,1.70652,1.06888,1.08006,0.00092575,0.00092575,0.00092575
5,1790.8,1.85842,1.29909,1.11764,0.74519,0.57327,0.67469,0.33278,1.67405,1.0365,1.05453,0.000901,0.000901,0.000901
6,2134.58,1.83269,1.26345,1.1063,0.7742,0.59568,0.70554,0.35536,1.63636,1.01424,1.07532,0.00087625,0.00087625,0.00087625
7,2473.7,1.8086,1.23124,1.09669,0.74701,0.59539,0.67581,0.31185,1.7985,1.03743,1.10687,0.0008515,0.0008515,0.0008515
8,2812.55,1.79297,1.21496,1.09131,0.77877,0.61469,0.71899,0.37062,1.58007,0.97757,1.0263,0.00082675,0.00082675,0.00082675
9,3147.67,1.76487,1.1829,1.08351,0.76198,0.62031,0.71152,0.32694,1.74994,0.96963,1.04836,0.000802,0.000802,0.000802
10,3492.67,1.75162,1.16811,1.07632,0.78882,0.61924,0.7162,0.36218,1.60483,0.96932,1.03807,0.00077725,0.00077725,0.00077725
11,3839.02,1.73637,1.14626,1.06944,0.7894,0.62879,0.73486,0.38745,1.50151,0.91263,1.0005,0.0007525,0.0007525,0.0007525
12,4187.64,1.72436,1.13091,1.06457,0.79306,0.62577,0.73402,0.38987,1.52797,0.90679,1.01199,0.00072775,0.00072775,0.00072775
13,4536.26,1.70805,1.11928,1.05993,0.69899,0.64883,0.63934,0.32704,1.55897,1.01331,1.03826,0.000703,0.000703,0.000703
14,4882.82,1.70263,1.10933,1.05682,0.76781,0.64014,0.73018,0.39608,1.47915,0.89616,0.99857,0.00067825,0.00067825,0.00067825
15,5233.89,1.69526,1.09922,1.05512,0.80989,0.66248,0.76941,0.41116,1.50392,0.85916,0.99437,0.0006535,0.0006535,0.0006535
16,5583.66,1.68952,1.08955,1.04884,0.79685,0.65515,0.76194,0.41493,1.45417,0.84988,0.97348,0.00062875,0.00062875,0.00062875
17,5929.03,1.67229,1.07765,1.04641,0.79528,0.641,0.75049,0.40063,1.50545,0.87946,1.01406,0.000604,0.000604,0.000604
18,6264.06,1.66029,1.06586,1.04396,0.80897,0.66054,0.77002,0.4242,1.43304,0.82933,0.97582,0.00057925,0.00057925,0.00057925
19,6601.84,1.6555,1.05929,1.04297,0.8095,0.67546,0.78001,0.42371,1.45626,0.81642,0.97519,0.0005545,0.0005545,0.0005545
20,6941.94,1.645,1.05041,1.03943,0.81645,0.68086,0.7868,0.42873,1.4573,0.81207,0.97725,0.00052975,0.00052975,0.00052975
21,7279.54,1.63637,1.03459,1.03561,0.79194,0.67614,0.77006,0.41976,1.46937,0.83836,0.9858,0.000505,0.000505,0.000505
22,7617.71,1.62096,1.02688,1.03607,0.81125,0.69315,0.79284,0.44044,1.4193,0.80451,0.97759,0.00048025,0.00048025,0.00048025
23,7953.09,1.62129,1.02003,1.02877,0.82627,0.68836,0.79426,0.43646,1.43421,0.78778,0.96409,0.0004555,0.0004555,0.0004555
24,8294.83,1.61071,1.01321,1.02644,0.82635,0.69193,0.80025,0.44403,1.39267,0.78392,0.95841,0.00043075,0.00043075,0.00043075
25,8635.87,1.60948,1.01276,1.03049,0.82121,0.69613,0.79789,0.44174,1.40571,0.78208,0.95508,0.000406,0.000406,0.000406
26,8976.39,1.60304,1.00639,1.02637,0.82413,0.69609,0.80026,0.44588,1.39662,0.77878,0.95472,0.00038125,0.00038125,0.00038125
27,9312.37,1.59199,0.99332,1.02126,0.81733,0.70055,0.80123,0.45083,1.37414,0.77508,0.9499,0.0003565,0.0003565,0.0003565
28,9650.5,1.57959,0.98494,1.0188,0.81659,0.70917,0.80722,0.45456,1.37701,0.76304,0.95249,0.00033175,0.00033175,0.00033175
29,9995.96,1.58229,0.98338,1.01801,0.82207,0.70521,0.80696,0.45916,1.36231,0.76117,0.94848,0.000307,0.000307,0.000307
30,10336.6,1.57259,0.96918,1.01335,0.82506,0.70335,0.80872,0.46138,1.35198,0.75998,0.94695,0.00028225,0.00028225,0.00028225
31,10637.8,1.42619,0.84873,0.99124,0.82932,0.70284,0.80955,0.45249,1.39194,0.75946,0.94924,0.0002575,0.0002575,0.0002575
32,10935.4,1.40422,0.82876,0.98818,0.82979,0.71154,0.81324,0.45896,1.37788,0.74592,0.94514,0.00023275,0.00023275,0.00023275
33,11235.6,1.39511,0.81694,0.98383,0.82999,0.7083,0.81294,0.46328,1.35839,0.74401,0.94477,0.000208,0.000208,0.000208
34,11535.4,1.38796,0.8093,0.97987,0.83106,0.7155,0.81558,0.46643,1.35354,0.73726,0.94523,0.00018325,0.00018325,0.00018325
35,11837.8,1.38499,0.80161,0.97723,0.83592,0.71721,0.81948,0.46807,1.35631,0.73338,0.94427,0.0001585,0.0001585,0.0001585
36,12132.8,1.37182,0.79708,0.97516,0.83764,0.71855,0.82172,0.46741,1.36079,0.73412,0.9437,0.00013375,0.00013375,0.00013375
37,12423.6,1.36088,0.79055,0.97199,0.82984,0.71916,0.82053,0.46848,1.35532,0.73253,0.942,0.000109,0.000109,0.000109
38,12711.5,1.36154,0.78216,0.97189,0.83859,0.71664,0.82206,0.47286,1.34097,0.72683,0.93718,8.425e-05,8.425e-05,8.425e-05
39,13002.1,1.35252,0.77803,0.96925,0.84061,0.71649,0.82181,0.47429,1.33392,0.72133,0.93522,5.95e-05,5.95e-05,5.95e-05
40,13294.7,1.34543,0.77362,0.9676,0.8427,0.71768,0.82487,0.47534,1.32948,0.71899,0.93402,3.475e-05,3.475e-05,3.475e-05
